academicYear,primaryCategory,secondaryCategory,value,dimension,semester
2016-17,Returning On-Campus Students,Full-Time,144,Gender,Fall
2016-17,Returning On-Campus Students,Part-Time,2,Gender,Fall
2015-16,Returning On-Campus Students,Full-Time,131,Gender,Fall
2015-16,Returning On-Campus Students,Part-Time,1,Gender,Fall
2014-15,Returning On-Campus Students,Full-Time,115,Gender,Fall
2014-15,Returning On-Campus Students,Part-Time,2,Gender,Fall
2013-14,Returning On-Campus Students,Full-Time,112,Gender,Fall
2013-14,Returning On-Campus Students,Part-Time,4,Gender,Fall
2012-13,Returning On-Campus Students,Full-Time,162,Gender,Fall
2012-13,Returning On-Campus Students,Part-Time,0,Gender,Fall
2011-12,Returning On-Campus Students,Full-Time,165,Gender,Fall
2011-12,Returning On-Campus Students,Part-Time,0,Gender,Fall
2010-11,Returning On-Campus Students,Full-Time,171,Gender,Fall
2010-11,Returning On-Campus Students,Part-Time,2,Gender,Fall
2009-10,Returning On-Campus Students,Full-Time,185,Gender,Fall
2009-10,Returning On-Campus Students,Part-Time,2,Gender,Fall
2008-09,Returning On-Campus Students,Full-Time,190,Gender,Fall
2008-09,Returning On-Campus Students,Part-Time,0,Gender,Fall
2007-08,Returning On-Campus Students,Full-Time,213,Gender,Fall
2007-08,Returning On-Campus Students,Part-Time,1,Gender,Fall
2006-07,Returning On-Campus Students,Full-Time,215,Gender,Fall
2006-07,Returning On-Campus Students,Part-Time,0,Gender,Fall
2005-06,Returning On-Campus Students,Full-Time,194,Gender,Fall
2005-06,Returning On-Campus Students,Part-Time,2,Gender,Fall
2004-05,Returning On-Campus Students,Full-Time,218,Gender,Fall
2004-05,Returning On-Campus Students,Part-Time,0,Gender,Fall
2003-04,Returning On-Campus Students,Full-Time,166,Gender,Fall
2003-04,Returning On-Campus Students,Part-Time,0,Gender,Fall
2002-03,Returning On-Campus Students,Full-Time,193,Gender,Fall
2024-25,Off-Campus Students,Full-Time,3,Gender,Fall
2024-25,Off-Campus Students,Part-Time,0,Gender,Fall
2023-24,Off-Campus Students,Full-Time,7,Gender,Fall
2023-24,Off-Campus Students,Part-Time,0,Gender,Fall
2022-23,Off-Campus Students,Full-Time,5,Gender,Fall
2022-23,Off-Campus Students,Part-Time,0,Gender,Fall
2021-22,Off-Campus Students,Full-Time,1,Gender,Fall
2021-22,Off-Campus Students,Part-Time,0,Gender,Fall
2020-21,Off-Campus Students,Full-Time,1,Gender,Fall
2020-21,Off-Campus Students,Part-Time,0,Gender,Fall
2019-20,Off-Campus Students,Full-Time,11,Gender,Fall
2019-20,Off-Campus Students,Part-Time,0,Gender,Fall
2018-19,Off-Campus Students,Full-Time,7,Gender,Fall
2018-19,Off-Campus Students,Part-Time,0,Gender,Fall
2017-18,Off-Campus Students,Full-Time,16,Gender,Fall
2017-18,Off-Campus Students,Part-Time,0,Gender,Fall
2016-17,Off-Campus Students,Full-Time,6,Gender,Fall
2016-17,Off-Campus Students,Part-Time,0,Gender,Fall
2015-16,Off-Campus Students,Full-Time,14,Gender,Fall
2015-16,Off-Campus Students,Part-Time,0,Gender,Fall
2014-15,Off-Campus Students,Full-Time,8,Gender,Fall
2014-15,Off-Campus Students,Part-Time,0,Gender,Fall
2013-14,Off-Campus Students,Full-Time,11,Gender,Fall
2013-14,Off-Campus Students,Part-Time,0,Gender,Fall
2012-13,Off-Campus Students,Full-Time,5,Gender,Fall
2012-13,Off-Campus Students,Part-Time,0,Gender,Fall
2011-12,Off-Campus Students,Full-Time,11,Gender,Fall
2011-12,Off-Campus Students,Part-Time,0,Gender,Fall
2010-11,Off-Campus Students,Full-Time,26,Gender,Fall
2010-11,Off-Campus Students,Part-Time,0,Gender,Fall
2009-10,Off-Campus Students,Full-Time,27,Gender,Fall
2009-10,Off-Campus Students,Part-Time,0,Gender,Fall
2008-09,Off-Campus Students,Full-Time,32,Gender,Fall
2008-09,Off-Campus Students,Part-Time,0,Gender,Fall
2007-08,Off-Campus Students,Full-Time,47,Gender,Fall
2007-08,Off-Campus Students,Part-Time,0,Gender,Fall
2006-07,Off-Campus Students,Full-Time,44,Gender,Fall
2006-07,Off-Campus Students,Part-Time,1,Gender,Fall
2005-06,Off-Campus Students,Full-Time,34,Gender,Fall
2005-06,Off-Campus Students,Part-Time,0,Gender,Fall
2004-05,Off-Campus Students,Full-Time,21,Gender,Fall
2004-05,Off-Campus Students,Part-Time,0,Gender,Fall
2003-04,Off-Campus Students,Full-Time,36,Gender,Fall
2003-04,Off-Campus Students,Part-Time,0,Gender,Fall
2002-03,Off-Campus Students,Full-Time,26,Gender,Fall
2024-25,New Transfer Students,Full-Time,0,Gender,Fall
2024-25,New Transfer Students,Part-Time,0,Gender,Fall
2023-24,New Transfer Students,Full-Time,0,Gender,Fall
2023-24,New Transfer Students,Part-Time,0,Gender,Fall
2022-23,New Transfer Students,Full-Time,0,Gender,Fall
2022-23,New Transfer Students,Part-Time,0,Gender,Fall
