DEPT,APPT,"FALL
2023","FALL
2022","FALL
2021","FALL
2020","FALL
2019","FALL
2018","FALL
2017","FALL
2016","FALL
2015","FALL
2014","FALL
2013","FALL
2012","FALL
2011","FALL
2010","FALL
2009","FALL
2008","FALL
2007","FALL
2006","FALL
2005","FALL
2004","FALL
2003","FALL
2002","FALL
2001"
EDUC Total,,3.83,3.67,4.07,3.16,3.32,3.74,3.83,3.50,2.82,3.66,3.71,4.00,3.52,3.85,3.49,4.10,5.32,4.93,5.83,5.38,4.58,4.47,4.17
,,,,,,,,,,,,,,,,,,,,,,,,
ENGL,Tenured,5.42,4.67,5.33,6.33,6.33,6.50,6.00,7.33,6.00,7.50,6.83,7.00,6.66,5.00,4.66,5.33,5.33,4.33,4.67,6.33,7.00,7.00,4.00
,Tenure-Track,2.00,2.00,0.00,1.66,2.00,1.00,1.00,1.00,1.00,0.00,0.00,1.83,2.00,4.00,3.00,4.00,4.83,4.00,4.00,2.00,3.33,1.67,2.67
,Visiting,1.00,1.33,1.83,1.66,2.16,3.33,1.00,1.00,2.00,1.00,2.00,1.33,1.83,1.00,2.00,4.00,2.66,5.83,4.00,4.00,2.00,3.33,3.00
,Adjunct,0.00,2.67,4.66,2.33,0.66,1.00,2.00,1.33,0.00,0.00,1.00,0.25,0.16,1.33,1.00,1.33,1.66,1.33,1.67,1.67,1.17,0.33,0.33
ENGL Total,,8.42,10.67,11.82,11.98,11.15,11.83,10.00,10.66,9.00,8.50,9.83,10.41,10.65,11.33,10.66,14.66,14.48,15.49,14.33,14.00,13.50,12.33,10.00
,,,,,,,,,,,,,,,,,,,,,,,,
ENVN,Tenured,0.00,0.00,1.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
,Tenure-Track,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
,Visiting,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
,Adjunct,0.00,0.00,0.00,0.33,0.33,0.33,,,,,,,,,,,,,,,,,
ENVN Total,,0.00,0.00,1.00,0.33,0.33,0.33,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ETHN,Tenured,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Tenure-Track,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.33,,,,,
,Visiting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Adjunct,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.00,0.66,0.00,0.00,,,,,
ETHN Total,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.66,0.66,0.66,1.00,1.66,1.00,1.33,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GEOL,Tenured,2.33,2.00,1.00,1.50,3.66,4.08,4.66,3.33,3.00,3.66,3.16,3.33,2.61,2.83,2.83,3.16,4.00,2.16,3.83,3.83,2.67,3.17,3.67
,Tenure-Track,1.66,3.00,3.00,1.83,2.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,2.33,1.66,2.00,2.00,1.83,1.00,1.00,0.00,0.00,0.00
,Visiting,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,,,,,,,,,,
,Adjunct,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
GEOL Total,,4.99,5.00,4.66,3.33,5.66,5.08,5.66,5.33,5.00,4.66,4.16,5.33,4.61,5.16,5.32,6.16,6.00,3.99,4.83,4.83,3.00,3.17,3.67
,,,,,,,,,,,,,,,,,,,,,,,,
HIST,Tenured,2.00,1.67,0.00,3.16,3.33,3.00,3.33,3.33,3.16,4.00,5.33,5.33,5.00,4.66,2.33,5.33,4.00,3.66,3.67,4.67,4.33,2.83,2.67
,Tenure-Track,3.00,2.00,2.00,1.33,1.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,2.66,1.00,2.00,1.00,0.67,0.00,2.00,0.67,1.33
