Academic Year,Category,Subcategory,Full Time,Part Time
2020-21,,TOTALS,297,1
2019-20,,TOTALS,336,0
2018-19,,TOTALS,296,3
2017-18,,TOTALS,359,1
2016-17,,TOTALS,285,3
2015-16,,TOTALS,286,3
2014-15,,TOTALS,272,3
2013-14,,TOTALS,266,8
2012-13,,TOTALS,327,2
2011-12,,TOTALS,334,1
2010-11,,TOTALS,385,9
2009-10,,TOTALS,399,6
2008-09,,TOTALS,401,0
2007-08,,TOTALS,475,0
2006-07,,TOTALS,460,1
2005-06,,TOTALS,405,3
2004-05,,TOTALS,432,0
2003-04,,TOTALS,377,0
2002-03,,TOTALS,346,5
2024-25,,New Transfer Students,0,0
2023-24,,New Transfer Students,0,0
2022-23,,New Transfer Students,0,0
2021-22,,New Transfer Students,0,0
2020-21,,New Transfer Students,0,0
2019-20,,New Transfer Students,0,0
2018-19,,New Transfer Students,0,0
2017-18,,New Transfer Students,0,0
2016-17,,New Transfer Students,0,0
2015-16,,New Transfer Students,0,0
2014-15,,New Transfer Students,0,0
2013-14,,New Transfer Students,1,0
2012-13,,New Transfer Students,0,0
2011-12,,New Transfer Students,0,0
2010-11,,New Transfer Students,1,0
2009-10,,New Transfer Students,0,0
2008-09,,New Transfer Students,0,0
2007-08,,New Transfer Students,0,0
2006-07,,New Transfer Students,0,0
2005-06,,New Transfer Students,0,0
2004-05,,New Transfer Students,1,0
2003-04,,New Transfer Students,0,0
2002-03,,New Transfer Students,0,0
2024-25,,Returning On-Campus Students,356,4
2023-24,,Returning On-Campus Students,301,9
2022-23,,Returning On-Campus Students,297,3
2021-22,,Returning On-Campus Students,320,10
2020-21,,Returning On-Campus Students,339,3
2019-20,,Returning On-Campus Students,306,1
2018-19,,Returning On-Campus Students,340,4
2017-18,,Returning On-Campus Students,288,5
2016-17,,Returning On-Campus Students,276,6
2015-16,,Returning On-Campus Students,277,3
2014-15,,Returning On-Campus Students,275,7
2013-14,,Returning On-Campus Students,314,5
2012-13,,Returning On-Campus Students,337,2
2011-12,,Returning On-Campus Students,398,3
2010-11,,Returning On-Campus Students,396,6
2009-10,,Returning On-Campus Students,395,6
2008-09,,Returning On-Campus Students,462,3
2007-08,,Returning On-Campus Students,443,2
2006-07,,Returning On-Campus Students,403,0
2005-06,,Returning On-Campus Students,415,7
2004-05,,Returning On-Campus Students,360,0
2003-04,,Returning On-Campus Students,313,6
2002-03,,Returning On-Campus Students,293,2
2024-25,,Off-Campus Students,9,0
2023-24,,Off-Campus Students,10,0
2022-23,,Off-Campus Students,17,0
2021-22,,Off-Campus Students,11,0
2020-21,,Off-Campus Students,6,0
2019-20,,Off-Campus Students,11,0
2018-19,,Off-Campus Students,10,0
2017-18,,Off-Campus Students,7,0
2016-17,,Off-Campus Students,5,0
2015-16,,Off-Campus Students,8,0
2014-15,,Off-Campus Students,10,0
2013-14,,Off-Campus Students,10,0
2012-13,,Off-Campus Students,18,0
2011-12,,Off-Campus Students,16,0
2010-11,,Off-Campus Students,13,0
2009-10,,Off-Campus Students,18,0
2008-09,,Off-Campus Students,22,0
2007-08,,Off-Campus Students,28,0
2006-07,,Off-Campus Students,24,1
2005-06,,Off-Campus Students,28,0
2004-05,,Off-Campus Students,31,0
2003-04,,Off-Campus Students,22,0
2002-03,,Off-Campus Students,27,0
2024-25,,TOTALS,365,4
2023-24,,TOTALS,311,9
2022-23,,TOTALS,314,3
2021-22,,TOTALS,331,10
2020-21,,TOTALS,345,3
2019-20,,TOTALS,317,1
2018-19,,TOTALS,350,4
2017-18,,TOTALS,295,5
2016-17,,TOTALS,281,6
2015-16,,TOTALS,285,3
2014-15,,TOTALS,285,7
2013-14,,TOTALS,325,5
2012-13,,TOTALS,337,2
2011-12,,TOTALS,398,3
2010-11,,TOTALS,410,6
2009-10,,TOTALS,413,6
2008-09,,TOTALS,484,3
2007-08,,TOTALS,471,2
2006-07,,TOTALS,427,1
2005-06,,TOTALS,443,7
2004-05,,TOTALS,392,0
2003-04,,TOTALS,335,6
2002-03,,TOTALS,320,2
2024-25,,Albion High School Scholars,1,3
2023-24,,Albion High School Scholars,0,1
2022-23,,Albion High School Scholars,0,2
2021-22,,Albion High School Scholars,0,5
2020-21,,Albion High School Scholars,2,5
2019-20,,Albion High School Scholars,2,11
2018-19,,Albion High School Scholars,0,11
2017-18,,Albion High School Scholars,0,3
2016-17,,Albion High School Scholars,0,11
2015-16,,Albion High School Scholars,0,5
2014-15,,Albion High School Scholars,0,8
2013-14,,Albion High School Scholars,0,11
2012-13,,Albion High School Scholars,0,15
2011-12,,Albion High School Scholars,0,8
2010-11,,Albion High School Scholars,0,5
2009-10,,Albion High School Scholars,0,9
2008-09,,Albion High School Scholars,0,10
2007-08,,Albion High School Scholars,0,11
2006-07,,Albion High School Scholars,0,14
2005-06,,Albion High School Scholars,0,12
2004-05,,Albion High School Scholars,0,8
2003-04,,Albion High School Scholars,0,12
2002-03,,Albion High School Scholars,0,18
2024-25,,Community Scholars,0,0
2023-24,,Community Scholars,0,0
2022-23,,Community Scholars,0,0
2021-22,,Community Scholars,0,0
2020-21,,Community Scholars,0,0
2019-20,,Community Scholars,0,0
2018-19,,Community Scholars,0,0
2017-18,,Community Scholars,0,0
2016-17,,Community Scholars,0,0
2015-16,,Community Scholars,0,0
2014-15,,Community Scholars,0,1
2013-14,,Community Scholars,0,0
2012-13,,Community Scholars,0,0
2011-12,,Community Scholars,0,1
2010-11,,Community Scholars,0,2
2009-10,,Community Scholars,0,2
2008-09,,Community Scholars,0,0
2007-08,,Community Scholars,0,0
2006-07,,Community Scholars,0,0
2005-06,,Community Scholars,0,2
2004-05,,Community Scholars,0,0
2003-04,,Community Scholars,0,0
2002-03,,Community Scholars,0,1
2024-25,,Post-Graduates/Post-Grad Certificate,2,0
2023-24,,Post-Graduates/Post-Grad Certificate,0,1
2022-23,,Post-Graduates/Post-Grad Certificate,2,2
2021-22,,Post-Graduates/Post-Grad Certificate,1,1
2020-21,,Post-Graduates/Post-Grad Certificate,0,1
2019-20,,Post-Graduates/Post-Grad Certificate,3,2
2018-19,,Post-Graduates/Post-Grad Certificate,2,2
2017-18,,Post-Graduates/Post-Grad Certificate,0,1
2016-17,,Post-Graduates/Post-Grad Certificate,1,1
2015-16,,Post-Graduates/Post-Grad Certificate,0,1
2014-15,,Post-Graduates/Post-Grad Certificate,0,3
2013-14,,Post-Graduates/Post-Grad Certificate,0,2
2012-13,,Post-Graduates/Post-Grad Certificate,1,2
2011-12,,Post-Graduates/Post-Grad Certificate,3,2
2010-11,,Post-Graduates/Post-Grad Certificate,1,1
2009-10,,Post-Graduates/Post-Grad Certificate,1,0
2008-09,,Post-Graduates/Post-Grad Certificate,1,0
2007-08,,Post-Graduates/Post-Grad Certificate,0,1
2006-07,,Post-Graduates/Post-Grad Certificate,0,1
2005-06,,Post-Graduates/Post-Grad Certificate,1,1
2004-05,,Post-Graduates/Post-Grad Certificate,0,0
2003-04,,Post-Graduates/Post-Grad Certificate,6,0
2002-03,,Post-Graduates/Post-Grad Certificate,9,2
2024-25,,Special Admits & Auditors,0,4
2023-24,,Special Admits & Auditors,1,4
2022-23,,Special Admits & Auditors,3,4
2021-22,,Special Admits & Auditors,1,4
