Department,Term,Average Class Size
HIST,2010-Fall,19.5
HIST,2011-Spring,19.3
HIST,2011-Fall,20.8
HIST,2012-Fall,14.1
HIST,2013-Fall,16.4
HIST,2014-Fall,15.8
HIST,2015-Fall,17.4
HIST,2016-Fall,17.1
HIST,2017-Fall,22.1
HIST,2018-Fall,21.4
HIST,2019-Fall,19.9
HIST,2020-Fall,23.1
HIST,2021-Fall,20.1
HIST,2022-Fall,19.2
HIST,2023-Fall,18.7
INTN,2013-Fall,12.0
INTN,2014-Fall,9.5
INTN,2015-Fall,19.7
INTN,2016-Fall,17.0
INTN,2017-Fall,23.0
INTN,2018-Fall,14.5
INTN,2019-Fall,14.0
INTN,2020-Fall,13.3
INTN,2021-Fall,9.3
INTN,2022-Fall,21.5
INTN,2023-Fall,24.0
KIN/PHED,2002-Fall,15.4
KIN/PHED,2003-Spring,19.5
KIN/PHED,2003-Fall,18.5
KIN/PHED,2004-Spring,19.7
KIN/PHED,2004-Fall,18.3
KIN/PHED,2005-Spring,19.9
KIN/PHED,2005-Fall,18.8
KIN/PHED,2006-Spring,22.7
KIN/PHED,2006-Fall,18.7
KIN/PHED,2007-Spring,18.8
KIN/PHED,2007-Fall,13.5
KIN/PHED,2008-Spring,16.8
KIN/PHED,2008-Fall,13.5
KIN/PHED,2009-Spring,15.9
KIN/PHED,2009-Fall,16.6
KIN/PHED,2010-Spring,16.7
KIN/PHED,2010-Fall,17.7
KIN/PHED,2011-Spring,16.5
KIN/PHED,2011-Fall,15.3
KIN/PHED,2012-Fall,15.9
KIN/PHED,2013-Fall,16.9
KIN/PHED,2014-Fall,22.4
KIN/PHED,2015-Fall,21.3
KIN/PHED,2016-Fall,26.2
KIN/PHED,2017-Fall,19.7
KIN/PHED,2018-Fall,18.4
KIN/PHED,2019-Fall,20.7
KIN/PHED,2020-Fall,22.6
KIN/PHED,2021-Fall,23.8
KIN/PHED,2022-Fall,22.1
KIN/PHED,2023-Fall,22.6
MATH/CS,2002-Fall,18.1
MATH/CS,2003-Spring,16.7
MATH/CS,2003-Fall,18.4
MATH/CS,2004-Spring,11.6
MATH/CS,2004-Fall,19.4
MATH/CS,2005-Spring,14.2
MATH/CS,2005-Fall,16.7
MATH/CS,2006-Spring,14.4
MATH/CS,2006-Fall,18.8
